feature,mean_abs_shap
max_type_chars,1.985443557563581
event_count,1.8338610192662792
other_event_count,0.39736282227462844
type_event_count,0.10948697752074192
duration_sec,0.05968573782593012
paste_external_chars,0.059362099236367566
paste_same_machine_count,0.054929813198549185
max_paste_chars,0.037251854070315234
long_gap_count_30s,0.03400526617310549
type_chars,0.01547854555476653
paste_chars,0.005100719204883238
paste_same_machine_chars,0.0032963312451580636
cut_chars,0.0012076360872015357
paste_external_char_ratio,0.0010050034493600066
mean_type_chars,0.00088850751911339
paste_unknown_chars,0.0005429485494172887
total_text_chars,0.0003760998676482
paste_own_char_ratio,0.00017172186390349738
paste_own_count,0.00016004035837556186
paste_event_count,0.0
cut_event_count,0.0
events_per_min,0.0
paste_char_ratio,0.0
cut_char_ratio,0.0
median_gap_sec,0.0
mean_gap_sec,0.0
max_cut_chars,0.0
median_paste_chars,0.0
mean_paste_chars,0.0
typed_chars_per_min,0.0
pasted_chars_per_min,0.0
paste_events_per_min,0.0
paste_external_count,0.0
paste_own_chars,0.0
max_gap_sec,0.0
long_gap_count_120s,0.0
paste_same_machine_char_ratio,0.0
paste_unknown_count,0.0
paste_unknown_char_ratio,0.0
if_anomaly_score,0.0
