session_id,event_count,duration_sec,type_event_count,paste_event_count,cut_event_count,other_event_count,type_chars,paste_chars,cut_chars,total_text_chars,paste_char_ratio,cut_char_ratio,events_per_min,typed_chars_per_min,pasted_chars_per_min,paste_events_per_min,max_paste_chars,mean_paste_chars,median_paste_chars,max_type_chars,mean_type_chars,max_cut_chars,mean_gap_sec,median_gap_sec,max_gap_sec,long_gap_count_30s,long_gap_count_120s,paste_own_count,paste_own_chars,paste_own_char_ratio,paste_external_count,paste_external_chars,paste_external_char_ratio,paste_same_machine_count,paste_same_machine_chars,paste_same_machine_char_ratio,paste_unknown_count,paste_unknown_chars,paste_unknown_char_ratio,if_anomaly_score
111/A,2.161811113357544,0.06437355279922485,0.13344796001911163,0.0,0.0,0.34797900915145874,0.04966333508491516,-0.008985724300146103,-0.0014170677168294787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08443447947502136,0.0,0.0,1.8118523359298706,0.0,0.0,0.0,0.0,0.0,0.02759586274623871,0.0,0.0,0.0,0.0,0.0,0.014379525557160378,0.0,0.015574246644973755,0.0,0.0,0.0,0.0,0.0,0.0
111/B,-0.1874704360961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055238723754883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006979742087423801,0.3416341245174408,0.04699455574154854,0.0,0.0,0.0,0.0,0.0
111/D,0.6320809125900269,0.00675409147515893,0.07194897532463074,0.0,0.0,0.0,0.01409982144832611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5847697257995605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546392619609833,0.005816072225570679,0.0,0.0,0.0,0.0,0.0
111/E,-0.14242218434810638,0.16576476395130157,-0.14093054831027985,0.0,0.0,-0.23698140680789948,-0.07490682601928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05295378714799881,0.0,0.0,-2.0742058753967285,0.0,0.0,0.0,0.0,0.0,-0.040956832468509674,0.0,0.0,0.0,0.0,0.0,-0.08027056604623795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111/F,2.3846054077148438,0.07196339219808578,0.009249106049537659,0.0,0.0,0.3717803955078125,0.06136467307806015,-0.011331183835864067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09131678193807602,0.0,0.0,1.61809504032135,0.0,0.0,0.0,0.0,0.0,0.015219464898109436,0.0,0.0,0.0,0.0013681292766705155,0.0,0.059834692627191544,0.0,0.0029463996179401875,0.0,0.0,0.0,0.0,0.0,0.0
211/A,2.057176351547241,0.09995677322149277,0.03461118042469025,0.0,0.0,0.2537900507450104,0.0,-0.0033802478574216366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039630789309740067,0.0,0.0,2.137474775314331,0.0,0.0,0.0,0.0,0.0,0.017724836245179176,0.0,0.0,0.0,0.0,0.0,-0.03362518548965454,0.0,0.04711737483739853,0.0059218816459178925,0.0,0.0,0.0,0.0,0.0
211/B,1.8789639472961426,-0.0031195045448839664,0.14201927185058594,0.0,0.0,0.5569430589675903,0.0,-0.003672451013699174,0.01414583995938301,-0.0071458974853158,0.0,0.0,0.0,0.0,0.0,0.0,0.13580484688282013,0.0,0.0,1.890358805656433,-0.01688164286315441,0.0,0.0,0.0,0.0,0.08309422433376312,0.0,0.0,0.0,0.0,0.0,0.03634323179721832,0.0,0.004393714480102062,0.0,0.0,0.0,0.0,0.0,0.0
211/C,2.350594997406006,0.14787839353084564,0.06071527302265167,0.0,0.0,0.12381488084793091,0.010890277102589607,-0.006449903827160597,0.0016901413910090923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006553663872182369,0.0,0.0,1.872626781463623,0.0,0.0,0.0,0.0,0.0,0.004163154400885105,0.0,0.0,0.0,0.001894586137495935,0.0,0.046174854040145874,0.0,0.021790213882923126,0.0,0.0,0.0,0.0,0.0,0.0
211/D,2.4756202697753906,0.04217313230037689,0.07081600278615952,0.0,0.0,0.17782020568847656,0.024755006656050682,-0.009111772291362286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024781471118330956,0.0,0.0,1.8534085750579834,0.0,0.0,0.0,0.0,0.0,0.018922166898846626,0.0,0.0,0.0,0.0,0.0,0.004438264761120081,0.0,0.014213228598237038,0.0,0.0,0.0,0.0,0.0,0.0
211/E,-4.21499490737915,-0.026991717517375946,-0.47742342948913574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211/F,2.6950132846832275,0.0024062697775661945,0.23747850954532623,0.0,0.0,0.0890464186668396,0.011827305890619755,-0.015997812151908875,0.002088508801534772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004013092257082462,0.0,0.0,1.5269839763641357,0.0,0.0,0.0,0.0,0.0,0.00830782949924469,0.0,0.0,0.0,0.0,0.0,0.04535958915948868,0.0,0.008168138563632965,0.0,0.0,0.0,0.0,0.0,0.0
211/G,1.9539824724197388,0.042610861361026764,0.14390988647937775,0.0,0.0,0.5457130670547485,0.0,-0.0006666463450528681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14021702110767365,0.0,0.0,1.706128478050232,0.0,0.0,0.0,0.0,0.0,0.08834468573331833,0.0,0.0,0.0,0.0,0.0,0.07111847400665283,0.0,0.006449013017117977,0.0,0.0,0.0,0.0,0.0,0.0
211/I,2.1448886394500732,0.007257947698235512,0.0754464641213417,0.0,0.0,0.09968116134405136,0.0,-0.01288104522973299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034942245110869408,0.0,0.0,2.1288557052612305,0.0,0.0,0.0,0.0,0.0,0.015284806489944458,0.0,0.0,0.0,0.0,0.0,0.14805728197097778,0.0,0.04174845293164253,0.0,0.0,0.0,-0.006985241547226906,0.0,0.0
211/L,2.4364795684814453,0.0012012727092951536,0.10747329145669937,0.0,0.0,0.4025864899158478,0.0,-0.008550494909286499,0.0036035277880728245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09231767803430557,0.0,0.0,1.5660945177078247,0.0,0.0,0.0,0.0,0.0,0.03389531001448631,0.0,0.0,0.0,0.0,0.0,0.01068784948438406,0.0,0.02585121989250183,0.0,0.0,0.0,0.0,0.0,0.0
211/N,0.3375759422779083,0.0,0.03204503282904625,0.0,0.0,3.9612669944763184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0224950909614563,0.0,0.0,0.0,0.0,0.0,0.25194236636161804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211/O_BouncingBall,0.7614291906356812,-0.0026789221446961164,0.006153210997581482,0.0,0.0,0.007680324837565422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.70894455909729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35093867778778076,-0.006342931184917688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211/O_StudentFractalAssign,1.5002208948135376,-0.3510385751724243,-0.12853269279003143,0.0,0.0,0.13358497619628906,0.0,-0.003909974824637175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027734626084566116,0.0,0.0,2.284977436065674,0.0,0.0,0.0,0.0,0.0,0.017068779096007347,0.0,0.0,0.0,0.0,0.0,0.030957216396927834,0.0,0.013816427439451218,0.0,0.0,0.0,0.0,0.0,0.0
211/P,2.6507773399353027,0.05001867935061455,0.052329059690237045,0.0,0.0,0.07673673331737518,0.046585120260715485,-0.008749691769480705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004532765597105026,0.0,0.0,1.6298168897628784,0.0,0.0,0.0,0.0,0.0,0.009754421189427376,0.0,0.0030407668091356754,0.0,0.0,0.0,0.11511403322219849,0.005772392265498638,0.021199906244874,0.0038977840449661016,0.0,0.0,0.0,0.0,0.0
211/Q,1.8772515058517456,0.04784116894006729,0.15572267770767212,0.0,0.0,0.16448844969272614,0.0,-0.003226716537028551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2511003017425537,0.0,0.0,0.0,0.0,0.0,0.013825316913425922,0.0,0.0,0.0,0.0,0.0,0.0805804431438446,0.0,0.12412472814321518,0.0,0.0,0.0,0.003330780891701579,0.0,0.0
