session_id,source,label,in_original_16,event_count,duration_sec,type_event_count,paste_event_count,cut_event_count,other_event_count,type_chars,paste_chars,cut_chars,total_text_chars,paste_char_ratio,cut_char_ratio,events_per_min,typed_chars_per_min,pasted_chars_per_min,paste_events_per_min,max_paste_chars,mean_paste_chars,median_paste_chars,max_type_chars,mean_type_chars,max_cut_chars,mean_gap_sec,median_gap_sec,max_gap_sec,long_gap_count_30s,long_gap_count_120s,paste_own_count,paste_own_chars,paste_own_char_ratio,paste_external_count,paste_external_chars,paste_external_char_ratio,paste_same_machine_count,paste_same_machine_chars,paste_same_machine_char_ratio,paste_unknown_count,paste_unknown_chars,paste_unknown_char_ratio
111/A,pastetrace_sp2023,1,yes,42,1313.7,35,3,4,0,162,2327,4827,2489,0.9349136199276818,0.6597867687260798,1.9182461749257822,7.398949531856588,106.27997259648322,0.13701758392327015,2081.0,775.6666666666666,167.0,20.0,4.628571428571429,2320.0,32.041463414634144,5.199999999999989,487.29999999999995,4,3,2,246,0.10571551353674259,1,2081,0.8942844864632574,0,0,0.0,0,0,0.0
111/D,pastetrace_sp2023,1,yes,73,308.5,70,3,0,0,269,3918,0,4187,0.9357535228086936,0.0,14.197730956239871,52.31766612641815,762.0097244732577,0.5834683954619125,3739.0,1306.0,140.0,20.0,3.842857142857143,0.0,4.284722222222222,0.10000000000000009,117.7,3,0,0,0,0.0,2,3778,0.964267483409903,1,140,0.03573251659009699,0,0,0.0
111/E,pastetrace_sp2023,0,yes,826,109845.0,767,28,9,22,5713,3491,504,9204,0.3792916123424598,0.0519159456118665,0.4511812098866585,3.120578997678547,1.9068687696299331,0.01529427830124266,1935.0,124.67857142857143,23.0,144.0,7.448500651890482,138.0,133.14545454545456,1.5,80432.1,62,21,6,2893,0.8287023775422515,1,33,0.009452878831280435,21,565,0.16184474362646806,0,0,0.0
111/F,pastetrace_sp2023,1,yes,1,0.0,0,1,0,0,0,1513,0,1513,1.0,0.0,0.0,0.0,0.0,0.0,1513.0,1513.0,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1,1513,1.0,0,0,0.0,0,0,0.0
211/A,pastetrace_sp2023,1,yes,5,16.0,2,3,0,0,3,3938,0,3941,0.9992387718853083,0.0,18.75,11.25,14767.5,11.25,1961.0,1312.6666666666667,1413.0,2.0,1.5,0.0,4.0,3.5999999999999996,7.4,0,0,3,3938,1.0,0,0,0.0,0,0,0.0,0,0,0.0
211/B,pastetrace_sp2023,1,yes,41,1618.3,33,8,0,0,199,10519,0,10718,0.9814331031908938,0.0,1.5201136995612679,7.37811283445591,390.0018537971946,0.29660755113390597,3131.0,1314.875,804.5,26.0,6.03030303030303,0.0,40.457499999999996,2.199999999999994,716.3,6,3,0,0,0.0,8,10519,1.0,0,0,0.0,0,0,0.0
211/C,pastetrace_sp2023,1,yes,10,826.8,6,4,0,0,80,4395,0,4475,0.982122905027933,0.0,0.725689404934688,5.805515239477504,318.94049346879535,0.29027576197387517,1561.0,1098.75,1152.0,30.0,13.333333333333334,0.0,91.86666666666667,14.2,499.90000000000003,4,2,0,0,0.0,4,4395,1.0,0,0,0.0,0,0,0.0
211/D,pastetrace_sp2023,1,yes,1,0.0,0,1,0,0,0,1132,0,1132,1.0,0.0,0.0,0.0,0.0,0.0,1132.0,1132.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1,1132,1.0,0,0,0.0,0,0,0.0
211/E,pastetrace_sp2023,1,yes,777,22021.7,770,5,2,0,4177,225,47,4402,0.051113130395274875,0.010564171723982918,2.117002774536026,11.380592778940771,0.6130316914679611,0.013622926477065802,118.0,45.0,32.0,59.0,5.4246753246753245,32.0,28.378479381443295,2.299999999999642,7213.299999999999,27,8,0,0,0.0,4,107,0.47555555555555556,1,118,0.5244444444444445,0,0,0.0
211/F,pastetrace_sp2023,1,yes,237,1517.6,198,35,4,0,982,2127,58,3109,0.6841428111933098,0.01831386169876855,9.37005798629415,38.824459673168164,84.09330521876647,1.3837638376383763,1612.0,60.77142857142857,15.0,33.0,4.959595959595959,16.0,6.43050847457627,2.0,313.7,5,3,0,0,0.0,25,2007,0.9435825105782792,0,0,0.0,10,120,0.056417489421720736
