session_id,event_count,duration_sec,type_event_count,paste_event_count,cut_event_count,other_event_count,type_chars,paste_chars,cut_chars,total_text_chars,paste_char_ratio,cut_char_ratio,events_per_min,typed_chars_per_min,pasted_chars_per_min,paste_events_per_min,max_paste_chars,mean_paste_chars,median_paste_chars,max_type_chars,mean_type_chars,max_cut_chars,mean_gap_sec,median_gap_sec,max_gap_sec,long_gap_count_30s,long_gap_count_120s,paste_own_count,paste_own_chars,paste_own_char_ratio,paste_external_count,paste_external_chars,paste_external_char_ratio,paste_same_machine_count,paste_same_machine_chars,paste_same_machine_char_ratio,paste_unknown_count,paste_unknown_chars,paste_unknown_char_ratio,if_anomaly_score
111/A,0.2406787872314453,0.032225415110588074,0.0,0.0,0.0,0.0,0.0,0.0,-0.04336477443575859,0.0,0.0,-0.2858004868030548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727475166320801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079787477850914,0.0,0.1081288531422615,0.008595844730734825,0.0,0.0,0.0,0.0,0.0
111/D,0.680889368057251,0.009650252759456635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454716920852661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04908131808042526,0.0,0.27834436297416687,0.039136823266744614,0.0,0.0,0.0,0.0,0.0
111/E,-0.22474130988121033,-0.014965346083045006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054426033049821854,0.0,0.0,0.0,0.0,3.8297243118286133,0.41331806778907776,0.0,-0.037771813571453094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111/F,0.290287584066391,0.09010812640190125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027021314948797226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7564785480499268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716741755604744,0.0,0.2834179401397705,0.021459706127643585,0.0,0.0,0.0,0.0,0.0
211/A,0.28748947381973267,0.06829161942005157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027140866965055466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704014301300049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4459584951400757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211/B,0.5595296621322632,0.021892782300710678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06893950700759888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65065860748291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19188320636749268,0.01918228529393673,0.0,0.0,0.0,0.0,0.0
211/C,0.3945246636867523,0.08903718739748001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053384508937597275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.608356475830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023812659084796906,0.0,0.3475508987903595,0.0,0.0,0.0,0.0,0.0,0.0
211/D,0.4121561050415039,0.05065956711769104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01339883916079998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7597768306732178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037767354398965836,0.0,0.25273555517196655,0.0,0.0,0.0,0.0,0.0,0.0
211/E,-4.16412353515625,-0.3106866478919983,-0.043507833033800125,0.0,0.0,0.0,-0.005704659968614578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211/F,0.4301041066646576,0.027677170932292938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020893583074212074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3938751220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07682214677333832,0.0,0.5732230544090271,0.0074913837015628815,0.0,0.0,0.0,0.0,0.0
